epoch,iter_0/train/accuracy,iter_0/train/f1,iter_0/train/loss,iter_0/train/precision,iter_0/train/recall,iter_0/val/accuracy,iter_0/val/f1,iter_0/val/loss,iter_0/val/precision,iter_0/val/recall,iter_0/val/val_auprc,iter_0/val/val_auroc_gmm,iter_0/val/val_epr,iter_1/train/accuracy,iter_1/train/f1,iter_1/train/loss,iter_1/train/precision,iter_1/train/recall,iter_1/val/accuracy,iter_1/val/f1,iter_1/val/loss,iter_1/val/precision,iter_1/val/recall,iter_1/val/val_auprc,iter_1/val/val_auroc_gmm,iter_1/val/val_epr,iter_2/train/accuracy,iter_2/train/f1,iter_2/train/loss,iter_2/train/precision,iter_2/train/recall,iter_2/val/accuracy,iter_2/val/f1,iter_2/val/loss,iter_2/val/precision,iter_2/val/recall,iter_2/val/val_auprc,iter_2/val/val_auroc_gmm,iter_2/val/val_epr,step,train_accuracy,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_loss,val_precision,val_recall
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440423716763827,0.9168050174773633,0.1346153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.7343173623085022,0.15294118225574493,0.5543270111083984,0.10924369841814041,0.2549019753932953
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.042016807943582535,0.08064515888690948,1.6299102306365967,1.0,0.042016807943582535,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487745272287785,0.8944483785619262,0.18269230769230768,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,0.138376384973526,0.17345133423805237,1.2986043691635132,0.09533073753118515,0.9607843160629272
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.3949579894542694,0.5662650465965271,0.8793116807937622,1.0,0.3949579894542694,,,,,
,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5984599388596616,0.8857475637664795,0.18269230769230768,,,,,,,,,,,,,,2,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,0.9059040546417236,0.0,0.33765295147895813,0.0,0.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5958466529846191,0.20189274847507477,0.8306353092193604,0.15609756112098694,0.2857142984867096,,,,,
,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437997653917246,0.8886802133589156,0.27884615384615385,,,,,,,,,,,,,,3,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,0.9003689885139465,0.06896551698446274,0.34985479712486267,0.2857142984867096,0.03921568766236305
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.8274760246276855,0.0181818176060915,0.4910103380680084,1.0,0.00917431153357029,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7075838902317644,0.8969168113911963,0.375,4,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.8966789841651917,0.09677419066429138,0.2825395464897156,0.27272728085517883,0.05882352963089943
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8931159377098083,0.15714286267757416,0.2886260449886322,0.523809552192688,0.09243697673082352,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581090928480023,0.9034001132814713,0.4326923076923077,5,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,0.9003689885139465,0.20588235557079315,0.2626414895057678,0.4117647111415863,0.13725490868091583
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.9103260636329651,0.20800000429153442,0.24120263755321503,0.9285714030265808,0.11711711436510086,,,,,
